"","city","state","pub.count","lat","lon"
"1","ALAMOSA","CO",1,37.4694491,-105.8700214
"2","ARVADA","CO",3,39.8027644,-105.0874842
"3","ASPEN","CO",1,39.1910983,-106.8175387
"4","AURORA","CO",6,39.7294319,-104.8319195
"5","BAYFIELD","CO",1,37.2255593,-107.5981123
"6","BERTHOUD","CO",2,40.3083174,-105.0810924
"7","BOULDER","CO",21,40.0149856,-105.2705456
"8","BRECKENRIDGE","CO",2,39.4816537,-106.0383518
"9","BRIGHTON","CO",1,39.9852617,-104.8205283
"10","BROOMFIELD","CO",5,39.9205411,-105.0866504
"11","BUENA VISTA","CO",1,38.8422178,-106.1311288
"12","CANON CITY","CO",1,38.446667,-105.228333
"13","CARBONDALE","CO",2,39.4022054,-107.2111628
"14","CASTLE ROCK","CO",1,39.3722121,-104.8560902
"15","CENTENNIAL","CO",3,39.5807452,-104.8771726
"16","CENTRAL CITY","CO",1,39.8019322,-105.5141639
"17","COLORADO SPRINGS","CO",16,38.8338816,-104.8213634
"18","CORTEZ","CO",2,37.3488827,-108.5859265
"19","CRESTED BUTTE","CO",1,38.8697146,-106.9878231
"20","DEL NORTE","CO",2,37.6788919,-106.3533683
"21","DENVER","CO",51,39.737567,-104.9847179
"22","DILLON","CO",2,39.6302643,-106.0433518
"23","DOLORES","CO",1,37.4738818,-108.5045356
"24","DURANGO","CO",5,37.27528,-107.8800667
"25","EAGLE","CO",3,39.6552634,-106.8286507
"26","EDGEWATER","CO",1,39.7530425,-105.0641503
"27","EDWARDS","CO",2,39.644986,-106.5942
"28","ENGLEWOOD","CO",1,39.6477653,-104.9877597
"29","ERIE","CO",2,40.0502623,-105.0499817
"30","ESTES PARK","CO",2,40.3772059,-105.5216651
"31","EVERGREEN","CO",1,39.6333213,-105.3172146
"32","FAIRPLAY","CO",1,39.2247125,-106.0019618
"33","FORT COLLINS","CO",15,40.5852602,-105.084423
"34","FREDERICK","CO",1,40.0991506,-104.9371993
"35","FRISCO","CO",1,39.5744309,-106.0975203
"36","FRUITA","CO",2,39.1588696,-108.7289882
"37","GLENDALE","CO",1,39.7049873,-104.9335904
"38","GLENWOOD SPRINGS","CO",2,39.5505376,-107.3247762
"39","GOLDEN","CO",5,39.755543,-105.2210997
"40","GRAND JUNCTION","CO",3,39.0638705,-108.5506486
"41","GRAND LAKE","CO",1,40.2522073,-105.8230671
"42","GREELEY","CO",4,40.4233142,-104.7091322
"43","GREENWOOD VILLAGE","CO",1,39.6172101,-104.9508141
"44","GUNNISON","CO",1,38.5458246,-106.9253207
"45","HIGHLANDS RANCH","CO",3,39.544444,-104.968056
"46","IDAHO SPRINGS","CO",1,39.7424881,-105.5136081
"47","KEYSTONE","CO",1,39.604167,-105.948056
"48","LAFAYETTE","CO",4,39.9935959,-105.0897058
"49","LAKEWOOD","CO",1,39.7047095,-105.0813734
"50","LITTLETON","CO",5,39.613321,-105.0166498
"51","LONE TREE","CO",1,39.536482,-104.8970678
"52","LONGMONT","CO",7,40.1672068,-105.1019275
"53","LOUISVILLE","CO",3,39.977763,-105.1319296
"54","LOVELAND","CO",8,40.3977612,-105.0749801
"55","MANCOS","CO",1,37.344996,-108.2892487
"56","MANITOU SPRINGS","CO",1,38.8597127,-104.9171989
"57","MONTROSE","CO",2,38.4783198,-107.8761738
"58","MONUMENT","CO",1,39.0916586,-104.872758
"59","NEDERLAND","CO",3,39.9613759,-105.5108312
"60","NIWOT","CO",2,40.103874,-105.1708193
"61","NORTHGLENN","CO",1,39.8961821,-104.9811468
"62","OURAY","CO",3,38.0227716,-107.6714487
"63","PAGOSA SPRINGS","CO",3,37.26945,-107.0097617
"64","PALISADE","CO",1,39.1102587,-108.3509193
"65","PAONIA","CO",1,38.8683204,-107.5920017
"66","PARKER","CO",3,39.5186002,-104.7613633
"67","PONCHA SPRINGS","CO",1,38.5127752,-106.0772384
"68","PORTAGE","IN",1,41.5758707,-87.1761455
"69","PUEBLO","CO",2,38.2544472,-104.6091409
"70","RIDGWAY","CO",1,38.1525873,-107.7556162
"71","RIFLE","CO",1,39.5347023,-107.7831198
"72","SALIDA","CO",2,38.5347193,-105.9989022
"73","SILVERTON","CO",2,37.811941,-107.6645057
"74","STEAMBOAT SPRINGS","CO",3,40.4849769,-106.8317158
"75","TELLURIDE","CO",2,37.9374939,-107.8122852
"76","TRINIDAD","CO",1,37.1694632,-104.5005407
"77","WESTCLIFFE","CO",1,38.1347219,-105.4658353
"78","WESTMINSTER","CO",5,39.8366528,-105.0372046
"79","WHEAT RIDGE","CO",2,39.766098,-105.0772063
"80","WINDSOR","CO",1,40.4774818,-104.9013617
"81","WINTER PARK","CO",3,39.8916537,-105.7630624
"82","WOODLAND PARK","CO",3,38.9938808,-105.0569301
